Warehouse,Product Code,Location,Quantity
1. Cores,Core-11291,H21,2060
1. Cores,Core-11847,H22,5184
1. Cores,Core-11856,H22,17000
1. Cores,Core-11373,H23,432
1. Cores,Core-11374,H23,528
1. Cores,Core-11375,H23,382
1. Cores,Core-11377,H23,478
1. Cores,Core-11636,H24,358
1. Cores,Core-11616,H25,468
1. Cores,Core-11617,H25,171
1. Cores,Core-11618,H25,446
1. Cores,Core-11506,H26,6018
1. Cores,Core-11514,H26,6
1. Cores,Core-11515,H26,1
1. Cores,Core-11516,H26,17
1. Cores,Core-11517,H26,3
1. Cores,Core-11518,H26,6
1. Cores,Core-11519,H26,4
1. Cores,Core-11746,H26,3
1. Cores,Core-11754,H26,55
1. Cores,Core-11759,H26,2
1. Cores,Core-11544,H27,14
1. Cores,Core-11741,H28,"13,539"
1. Cores,Core-10971,H29,711
1. Cores,Core-10972,H29,790
1. Cores,Core-11030,H30,6720
1. Cores,Core-11844,H31,2808
1. Cores,Core-11845,H31,2808
1. Cores,Core-11075,H32,"148,367"
1. Cores,Core-11944,H34,"2,604"
1. Cores,Core-11905,H35,1152
1. Cores,Core-11642,H36,"10,700"
1. Cores,Core-11621,H37,7012
1. Cores,Core-11857,H38,17900
1. Cores,Core-10258,H39,67650
1. Cores,Core-11152,H40,600
1. Cores,Core-11170,H40,75
1. Cores,Core-11624,H40,11
1. Cores,Core-11801,H40,"1,208"
1. Cores,Core-11841,I00,4
1. Cores,Core-11905,I00,960
1. Cores,Core-11767,I01,1025
1. Cores,Core-11820,I01,5976
1. Cores,Core-11139,I05,217
1. Cores,Core-11138,I07,869
1. Cores,Core-11304,I08,2921
1. Cores,Core-11060,I09,35760
1. Cores,Core-10921,I10,1450
1. Cores,Core-11535,I11,77000
1. Cores,Core-11933,I12,518
1. Cores,Core-11953,I12,575
1. Cores,Core-11885,I13,2220
1. Cores,Core-11886,I13,7400
1. Cores,Core-11748,I14,235
1. Cores,Core-11787,I15,520
1. Cores,Core-10262,I17,113
1. Cores,Core-11774,I17,326
1. Cores,Core-11775,I17,350
1. Cores,Core-10274,I19,"1,253"
1. Cores,Core-11812,I20,9600
1. Cores,Core-11491,I21,39450
1. Cores,Core-11557,I22,855
1. Cores,Core-10925,I23,300
1. Cores,Core-11294,I24,2063
1. Cores,Core-11761,I25,705
1. Cores,Core-11770,I25,416
1. Cores,Core-11777,I25,560
1. Cores,Core-11778,I25,272
1. Cores,Core-11779,I25,632
1. Cores,Core-11780,I25,416
1. Cores,Core-11781,I25,272
1. Cores,Core-11782,I25,576
1. Cores,Core-11962,I26,1704
1. Cores,Core-11978,I26,1730
1. Cores,Core-11824,I27,102220
1. Cores,Core-11197,I29,"7,200"
1. Cores,Core-11255,I30,"2,133"
1. Cores,Core-11215,I31,25068
1. Cores,Core-11264,I31,"28,000"
1. Cores,Core-11816,I33,1689
1. Cores,Core-11816,I34,"9,792"
1. Cores,Core-11308,I35,"2,459"
1. Cores,Core-11008,I36,"200,000"
1. Cores,Core-11421,I37,492
1. Cores,Core-11489,I37,1440
1. Cores,Core-11328,I39,16
1. Cores,Core-11330,I39,46
1. Cores,Core-11331,I39,11
1. Cores,Core-11332,I39,122
1. Cores,Core-11333,I39,6
1. Cores,Core-11334,I39,48
1. Cores,Core-11338,I39,61
1. Cores,Core-11304,IO8,47
1. Cores,Core-11979,J05,"1,691"
1. Cores,Core-11980,J05,1824
1. Cores,Core-11637,J07,2116
1. Cores,Core-11638,J10,"1,278"
1. Cores,Core-11813,J15,11852
1. Cores,Core-11815,J15,"13,292"
1. Cores,Core-11814,J17,"11,904"
1. Cores,Core-11255,J19,2310
1. Cores,Core-11611,J21,6343
1. Cores,Core-11625,J23,65020
1. Cores,Core-11739,J24,"12,032"
1. Cores,Core-11545,J27,7184
1. Cores,Core-10924,J29,25
1. Cores,Core-11305,J29,2882
1. Cores,Core-11740,J30,"16,874"
1. Cores,Core-11705,J36,6
1. Cores,Core-10275,JFN,35
1. Cores,Core-10918,JFN,3032
1. Cores,Core-11081,JFN,1479
1. Cores,Core-11129,JFN,412
1. Cores,Core-11140,JFN,4897
1. Cores,SUP-10063,JFN,800
1. Cores,SUP-10064,JFN,500
1. Cores,SUP-10065,JFN,3500
1. Cores,SUP-10066,JFN,824
1. Cores,Core-10293,M06,3906
1. Cores,Core-11210,M08,3900
1. Cores,Core-11486,M10,12500
1. Cores,Core-10286,M12,"408,554"
1. Cores,SUP-10162,M15,500
1. Cores,Core-11034,MFN,97
1. Cores,Core-11073,MFN,48
1. Cores,Core-11097,MFN,438
1. Cores,Core-11143,MFN,886
1. Cores,Core-11146,MFN,240
1. Cores,Core-11147,MFN,118
1. Cores,Core-10991,N01,"1,999"
1. Cores,Core-10992,N01,1999
1. Cores,Core-10990,N02,24
1. Cores,Core-10991,N02,20
1. Cores,Core-10993,N02,47
1. Cores,Core-11218,N02,"1,047"
1. Cores,Core-11248,N03,2015
1. Cores,Core-11249,N03,201
1. Cores,Core-11250,N03,1
1. Cores,Core-11251,N03,23
1. Cores,Core-11252,N03,1991
1. Cores,Core-10924,N04,"1,000"
1. Cores,Core-11249,N04,"2,000"
1. Cores,Core-11486,N05,10835
1. Cores,Core-11914,N06,"40,000"
1. Cores,Core-11913,N07,205
1. Cores,Core-11258,N08,99009
1. Cores,Core-11209,N09,45800
1. Cores,Core-11217,N10,"56,315"
1. Cores,Core-11621,N12,"45,500"
1. Cores,Core-11299,O01,2690
1. Cores,Core-11297,O02,"5,561"
1. Cores,Core-11937,O03,5418
1. Cores,Core-11319,O04,2042
1. Cores,Core-11290,O05,2986
1. Cores,Core-11950,O06,2398
1. Cores,Core-10984,P01,1196
1. Cores,Core-11295,P02,"3,925"
1. Cores,Core-11320,P03,1730
1. Cores,Core-11292,P04,"3,565"
1. Cores,Core-11303,P05,2557
1. Cores,Core-11298,P06,4278
1. Cores,Core-10000,PHOTO,25
1. Cores,Core-10286,PHOTO,"9,000"
1. Cores,Core-11204,PHOTO,50
1. Cores,Core-11749,PHOTO,1
1. Cores,Core-11750,PHOTO,7
1. Cores,Core-11751,PHOTO,7
1. Cores,Core-11810,PHOTO,2800
1. Cores,Core-11811,PHOTO,2700
1. Cores,Core-11824,PHOTO,3000
1. Cores,Core-11840,PHOTO,25
1. Cores,Core-11841,PHOTO,25
1. Cores,Core-11844,PHOTO,72
1. Cores,Core-11845,PHOTO,72
1. Cores,Core-11847,PHOTO,576
1. Cores,Core-11848,PHOTO,12
1. Cores,Core-11849,PHOTO,12
1. Cores,Core-11850,PHOTO,12
1. Cores,Core-11851,PHOTO,180
1. Cores,Core-11852,PHOTO,600
1. Cores,Core-11853,PHOTO,150
1. Cores,Core-11856,PHOTO,500
1. Cores,Core-11857,PHOTO,500
1. Cores,Core-11859,PHOTO,3000
1. Cores,Core-11861,PHOTO,72
1. Cores,Core-11863,PHOTO,1
1. Cores,Core-11868,PHOTO,150
1. Cores,Core-11869,PHOTO,36
1. Cores,Core-11870,PHOTO,12
1. Cores,Core-11871,PHOTO,6
1. Cores,Core-11872,PHOTO,12
1. Cores,Core-11873,PHOTO,12
1. Cores,Core-11874,PHOTO,12
1. Cores,Core-11875,PHOTO,12
1. Cores,Core-11876,PHOTO,12
1. Cores,Core-11877,PHOTO,12
1. Cores,Core-11878,PHOTO,12
1. Cores,Core-11879,PHOTO,12
1. Cores,Core-11880,PHOTO,12
1. Cores,Core-11881,PHOTO,12
1. Cores,Core-11882,PHOTO,12
1. Cores,Core-11883,PHOTO,12
1. Cores,Core-11884,PHOTO,12
1. Cores,Core-11885,PHOTO,370
1. Cores,Core-11886,PHOTO,370
1. Cores,Core-11889,PHOTO,6
1. Cores,Core-11890,PHOTO,12
1. Cores,Core-11891,PHOTO,12
1. Cores,Core-11892,PHOTO,1000
1. Cores,Core-11893,PHOTO,26
1. Cores,Core-11894,PHOTO,24
1. Cores,Core-11895,PHOTO,24
1. Cores,Core-11520,PQA10,3
1. Cores,Core-11400,PQA12,23
1. Cores,Core-11977,PUTBACKS,1716
1. Cores,JLS-0337,R1A,22
1. Cores,Core-11046,R1B,15
1. Cores,Core-11047,R1B,56
1. Cores,Core-11048,R1B,98
1. Cores,Core-11049,R1B,35
1. Cores,Core-11469,R1B,24
1. Cores,Core-11831,R1B,1700
1. Cores,Core-11080,R1C,13
1. Cores,Core-11854,R1C,162
1. Cores,Core-10238,R1D,240
1. Cores,Core-11216,R1D,42
1. Cores,Core-11836,R1D,89
1. Cores,Core-11466,R1E,2
1. Cores,Core-11144,R2B,4
1. Cores,Core-11187,R2B,40
1. Cores,Core-11219,R2B,1
1. Cores,Core-11136,R2C,12
1. Cores,Core-11221,R2C,58
1. Cores,Core-11427,R2C,13
1. Cores,Core-11141,R2D,18
1. Cores,Core-11423,R2D,605
1. Cores,Core-11424,R2D,30
1. Cores,Core-11643,R2D,250
1. Cores,Core-11826,R2D,1764
1. Cores,Core-11061,R3A,84
1. Cores,Core-11062,R3A,79
