Core Number,Internal Title,Vendor,Vendor's Title,Vendor SKU,Backup Vendor,Backup Vendor SKU,Restockable,Vendor Order Unit,Vendor Case Pack,MOQ (Pieces),Buffer Days,Minimum Level,Product URL,Note for Next Order,Case Pack (Pieces),Pieces Per Internal Box,Boxes per Case,Tags & Info,Tag 1,Tag 2,Tag 3,Tag 4,Hazmat,Active,Ignore Until,Notes
SUP-10192,24x17x15 Box,Vendor 58,,SKU 34196,Vendor 100,SKU 49855,Yes,Piece,120,500,14,500,,,,,,,,,,2104,,Yes,,
SUP-10193,24x18x16 Box,Vendor 28,,SKU 55877,Vendor 77,SKU 31660,No,Piece,500,500,14,0,,,,,,,,,,2105,,Yes,,
SUP-10194,26x13x8 Box,Vendor 78,,SKU 99378,Vendor 79,SKU 81483,No,Piece,500,500,14,0,,,,,,,,,,2106,,Yes,,
SUP-10195,36x18x8 Box,Vendor 78,,SKU 25369,Vendor 29,SKU 98528,Yes,Piece,100,100,14,100,,,,,,,,,,2107,,Yes,,
SUP-10196,50x12x12 Box,Vendor 14,,SKU 85687,Vendor 27,SKU 49495,Yes,Piece,100,100,14,100,,,,,,,,,,2108,,Yes,,
SUP-10197,"10 x 7 x 6"" White Indestructo Mailer",Vendor 74,,SKU 28240,Vendor 72,SKU 68979,No,Piece,,0,14,0,Link,,,,,,,,,2109,,Yes,,
SUP-10198,5 x 12 rollbag for autobagger,Vendor 70,PRE-OPENED POLY BAG 5X12 2MIL 2678 1000/ROLL,SKU 40457,Vendor 41,SKU 46589,Yes,Case,"1,000","1,000",14,1 Case,,,,,,,,,,2172,,,,
SUP-10199,20x20x20 Box,Vendor 91,CORRUGATED BOX 20 X 20 X 20    10/BD 150/SK,SKU 4236,Vendor 84,SKU 46049,Yes,Case,150,150,14,150,,$1.92/box,,,,,,,,2174,,,,
SUP-10200,Large Rubber Bands,Vendor 61,Alliance Rubber 37176#117B Non-Latex Rubber Bands,SKU 24463,Vendor 98,SKU 92230,Yes,Case,250,250,14,3 Cases,Link,,,,,,,,,2175,,,,
SUP-10201,Small Rubber Bands,Vendor 54,AxeSickle Rubber Bands,SKU 10476,Vendor 1,SKU 30929,Yes,Case,"1,200","1,200",14,3 Cases,Link,,,,,,,,,2271,,,,
SUP-10202,Flavored Seltzer water/la Croix,Vendor 78,Sparkling Ice Citrus Celebration Variety Pack (17oz / 24pk),SKU 35265,Vendor 65,SKU 13188,Yes,,,,14,,Link,,,,,,,,,2272,,,,
SUP-10203,"Individual Cups Nestlé Coffee-mate Liquid Creamer, Original, 180-count",Vendor 52,Land O'Lakes Mini Moo's Half & Half (192 ct.),SKU 70720,Vendor 22,SKU 81029,Yes,,,,14,,Link,,,,,,,,,2273,,,,
SUP-10204,Pens,Vendor 54,"Zebra Pen Z-Grip Retractable Ballpoint Pen, Medium Point, 1.0mm, Black Ink, 24 Pack",SKU 98908,Vendor 83,SKU 34711,Yes,,,,14,,Link,,,,,,,,,2274,,,,
SUP-10205,Paper Plates,Vendor 36,,SKU 29141,Vendor 98,SKU 42964,Yes,Case,500,500,14,1 Case,Link,,,,,,,,,2275,,,,
SUP-10206,Paper Bowls,Vendor 61,,SKU 8512,Vendor 100,SKU 17127,Yes,Case,250,250,14,1 Case,Link,,,,,,,,,2276,,,,
SUP-10207,Pallet Wrap for Machine,Vendor 52,,SKU 99604,Vendor 74,SKU 7708,Yes,,,,14,,,,,,,,,,,2277,,,,
SUP-10208,Pallet Wrap by Hand,Vendor 96,,SKU 13249,Vendor 15,SKU 97621,Yes,,,,14,,,,,,,,,,,2278,,,,
SUP-10209,Plastic Knives,Vendor 83,,SKU 26479,Vendor 49,SKU 60188,Yes,,,,14,,,,,,,,,,,2279,,,,
SUP-10210,Plastic Forks,Vendor 51,,SKU 86244,Vendor 9,SKU 21966,Yes,,,,14,,,,,,,,,,,2280,,,,
SUP-10211,Plastic Spoons,Vendor 1,,SKU 97997,Vendor 72,SKU 20586,Yes,,,,14,,,,,,,,,,,2281,,,,
SUP-10212,Disposable Coffee Cups,Vendor 84,,SKU 24894,Vendor 12,SKU 75958,Yes,,,,14,,,,,,,,,,,2282,,,,
SUP-10213,TN221 Printer Ink (Black & Color),Vendor 54,,SKU 78170,Vendor 6,SKU 99609,Yes,,,,14,,,,,,,,,,,2283,,,,
SUP-10214,Copier Paper,Vendor 9,,SKU 62134,Vendor 24,SKU 51337,Yes,,,,14,,,,,,,,,,,2284,,,,
